2022-08-24 22:08:353 INFO  ManageDriver :32 - Launching Chrome Browser
2022-08-24 22:08:589 INFO  HomePage :90 - Getting text from : [[ChromeDriver: chrome on WINDOWS (84adae907af56d3a198d74f1b4fc862f)] -> id: onetrust-accept-btn-handler]
2022-08-24 22:08:288 INFO  HomePage :95 - Clicking on Gender : [[ChromeDriver: chrome on WINDOWS (84adae907af56d3a198d74f1b4fc862f)] -> xpath: //label[@for='account_gender_male']]
2022-08-24 22:08:921 INFO  HomePage :100 - Enter First Name : [[ChromeDriver: chrome on WINDOWS (84adae907af56d3a198d74f1b4fc862f)] -> id: first_name]
2022-08-24 22:08:642 INFO  HomePage :105 - Enter Last Name : [[ChromeDriver: chrome on WINDOWS (84adae907af56d3a198d74f1b4fc862f)] -> id: last_name]
2022-08-24 22:08:156 INFO  HomePage :110 - Fill the Day Field : [[ChromeDriver: chrome on WINDOWS (84adae907af56d3a198d74f1b4fc862f)] -> name: day]
2022-08-24 22:08:532 INFO  HomePage :115 - Fill the Month Field : [[ChromeDriver: chrome on WINDOWS (84adae907af56d3a198d74f1b4fc862f)] -> name: month]
2022-08-24 22:08:842 INFO  HomePage :120 - Fill the year field : [[ChromeDriver: chrome on WINDOWS (84adae907af56d3a198d74f1b4fc862f)] -> name: year]
2022-08-24 22:08:644 INFO  HomePage :125 - Fill the phone field : [[ChromeDriver: chrome on WINDOWS (84adae907af56d3a198d74f1b4fc862f)] -> id: phone_number]
2022-08-24 22:08:555 INFO  HomePage :130 - click on right arrow : [[ChromeDriver: chrome on WINDOWS (84adae907af56d3a198d74f1b4fc862f)] -> xpath: //span[@class='bvs-icon is-arrow-right  ']]
2022-08-24 22:08:724 INFO  HomePage :135 - Fill the country field : [[ChromeDriver: chrome on WINDOWS (84adae907af56d3a198d74f1b4fc862f)] -> id: account_country]
2022-08-24 22:08:114 INFO  HomePage :140 - click on Manual address : Proxy element for: DefaultElementLocator 'By.xpath: //span[@class='bvs-button-card cta__btn']'
2022-08-24 22:08:925 INFO  HomePage :145 - Fill 1st line of address : [[ChromeDriver: chrome on WINDOWS (84adae907af56d3a198d74f1b4fc862f)] -> id: address1]
2022-08-24 22:08:720 INFO  HomePage :150 - Fill 2nd line of address : [[ChromeDriver: chrome on WINDOWS (84adae907af56d3a198d74f1b4fc862f)] -> id: address2]
2022-08-24 22:08:707 INFO  HomePage :154 - Fill 3rd line of address : [[ChromeDriver: chrome on WINDOWS (84adae907af56d3a198d74f1b4fc862f)] -> id: address3]
2022-08-24 22:08:548 INFO  HomePage :159 - Fill the post code: [[ChromeDriver: chrome on WINDOWS (84adae907af56d3a198d74f1b4fc862f)] -> id: postcode]
2022-08-24 22:08:135 INFO  HomePage :130 - click on right arrow : Proxy element for: DefaultElementLocator 'By.xpath: //span[@class='bvs-icon is-arrow-right  ']'
2022-08-24 22:08:87 INFO  HomePage :164 - Fill the email field : [[ChromeDriver: chrome on WINDOWS (84adae907af56d3a198d74f1b4fc862f)] -> id: regpath_form_email_input]
2022-08-24 22:08:667 INFO  HomePage :169 - Fill the password field : [[ChromeDriver: chrome on WINDOWS (84adae907af56d3a198d74f1b4fc862f)] -> id: password]
2022-08-24 22:08:348 INFO  HomePage :175 - Agree terms and condition : Proxy element for: DefaultElementLocator 'By.xpath: //label[@class='account-form__checkbox'][@for='terms_privacy_policy']'
2022-08-24 22:08:775 INFO  HomePage :181 - Click on Create account : [[ChromeDriver: chrome on WINDOWS (84adae907af56d3a198d74f1b4fc862f)] -> xpath: //button[@type='submit']]
